PRO ID 	Category 	

PR:P60174-4	organism-sequence
PR:P60174-3	organism-sequence
PR:P60174-1	organism-sequence
PR:P60174	organism-gene
PR:P60059-1	organism-sequence
PR:P60059	organism-gene
PR:P57054-3	organism-sequence
PR:P57054-2	organism-sequence
PR:P57054-1	organism-sequence
PR:P57054	organism-gene
PR:P56537-2	organism-sequence
PR:P56537-1	organism-sequence
PR:P56537	organism-gene
PR:P56282-3	organism-sequence
PR:P56282-2	organism-sequence
PR:P56282-1	organism-sequence
PR:P56282	organism-gene
PR:P55789-2	organism-sequence
PR:P55789-1	organism-sequence
PR:P55789	organism-gene
PR:P55769-1	organism-sequence
PR:P55769	organism-gene

PR:P62195-1	organism-sequence
PR:P62195	organism-gene
PR:P62191-2	organism-sequence
PR:P62191-1	organism-sequence
PR:P62191	organism-gene
PR:P62166-2	organism-sequence
PR:P62166-1	organism-sequence
PR:P62166	organism-gene
PR:P61970-1	organism-sequence
PR:P61970	organism-gene
PR:P61803-1	organism-sequence
PR:P61803	organism-gene
PR:P61221-1	organism-sequence
PR:P61221	organism-gene
PR:P61218-1	organism-sequence
PR:P61218	organism-gene
PR:P61086-3	organism-sequence
PR:P61086-2	organism-sequence
PR:P61086-1	organism-sequence
PR:P61086	organism-gene
PR:P61009-1	organism-sequence
PR:P61009	organism-gene
PR:P60953-2	organism-sequence
PR:P60953-1	organism-sequence
PR:P60953	organism-gene
PR:P60900-3	organism-sequence
PR:P60900-2	organism-sequence

PR:P63165	organism-gene
PR:P62979-1	organism-sequence
